Water_Absorption_%,Plasticizer,Polymer_1,Toughener_1,Colorant,Stabilizer_1,Flame_retardant_1,Antioxidant,Metal_powder_1,Metal_powder_2,Metal_powder_3,Antistatic,Polymer_2,Stabilizer_2,Toughener_2,Clarifier_1,Clarifier_2,Clarifier_3,Polymer_3,Polymer_4,UV_absorber_1,UV_absorber_2,Flame_retardant_2,Polymer_5,Stabilizer_3,Filler_1,Filler_2,Toughener_3,Filler_3
2.88,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
2.06,0.03,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.18,0.00,0.00,0.01,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.81,0.08,0.00,0.00,0.00,0.00
0.80,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.64,0.00,0.00,0.00,0.00,0.00
1.22,0.00,0.01,0.00,0.04,0.00,0.00,0.04,0.67,0.00,0.23,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.50,0.21,0.00,0.00,0.00,0.00
1.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.00,0.96,0.64,0.00,0.00,0.00,0.00,0.00
1.92,0.09,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.14,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.99,0.49,0.00,0.00,0.00,0.00,0.00
1.47,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.93,0.64,0.00,0.00,0.00,0.00,0.00
2.61,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.66,0.00,0.36,0.00,0.60,0.00,0.70,0.00,0.96,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.57,0.00,0.00,0.00,0.00
1.78,0.00,0.83,0.00,0.00,0.00,0.67,0.08,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.67,0.14,0.43,0.00,0.86,0.00,0.72,0.33,0.74,0.07,0.00,0.00,0.11,0.00,0.11,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.74,0.00,0.00,0.00,0.00
2.21,0.05,0.28,0.00,1.00,0.00,0.73,0.34,1.00,0.00,0.00,0.00,0.28,0.15,0.12,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.84,0.00,0.00,0.00,0.00
2.21,0.04,0.33,0.00,0.82,0.00,0.71,0.32,0.98,0.00,0.04,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.72,0.00,0.00,0.00,0.00
1.79,0.00,0.53,0.00,0.33,0.00,0.68,0.26,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00
1.46,0.00,0.45,0.00,0.00,0.00,0.64,0.00,0.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.56,0.00,0.33,0.00,0.34,0.00,0.68,0.26,0.97,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.00,0.00,0.41,0.00,0.00,0.00,0.00
