x1,x2,x3,y
0.70,0.29,0.23,1.59
0.55,0.72,0.42,1.41
0.98,0.68,0.48,1.54
0.39,0.34,0.73,1.59
0.44,0.06,0.40,1.20
0.74,0.18,0.18,1.26
0.53,0.53,0.63,1.34
0.85,0.72,0.61,1.34
0.72,0.32,0.36,1.32
0.23,0.29,0.63,1.69
0.09,0.43,0.43,2.01
0.49,0.43,0.31,1.45
0.43,0.89,0.94,1.84
0.50,0.62,0.12,1.57
0.32,0.41,0.87,0.96
0.25,0.48,0.99,0.56
0.52,0.61,0.12,1.51
0.83,0.60,0.55,0.75
0.34,0.30,0.42,1.76
0.68,0.88,0.51,2.12
0.67,0.59,0.62,1.00
0.67,0.84,0.08,0.98
0.76,0.24,0.19,1.52
0.57,0.10,0.89,1.36
0.63,0.72,0.02,1.62
0.59,0.56,0.16,1.79
0.15,0.70,0.32,1.62
0.69,0.55,0.39,0.73
0.93,0.84,0.36,1.68
0.04,0.30,0.40,1.49
