x1,x2,x3,x4,x5,x6,y
0.70,0.29,0.23,0.55,0.72,0.42,-0.80
0.98,0.68,0.48,0.39,0.34,0.73,1.17
0.44,0.06,0.40,0.74,0.18,0.18,2.65
0.53,0.53,0.63,0.85,0.72,0.61,0.78
0.72,0.32,0.36,0.23,0.29,0.63,2.43
0.09,0.43,0.43,0.49,0.43,0.31,0.21
0.43,0.89,0.94,0.50,0.62,0.12,0.07
0.32,0.41,0.87,0.25,0.48,0.99,2.75
0.52,0.61,0.12,0.83,0.60,0.55,1.07
0.34,0.30,0.42,0.68,0.88,0.51,-0.27
0.67,0.59,0.62,0.67,0.84,0.08,0.31
0.76,0.24,0.19,0.57,0.10,0.89,1.24
0.63,0.72,0.02,0.59,0.56,0.16,0.64
0.15,0.70,0.32,0.69,0.55,0.39,0.04
0.93,0.84,0.36,0.04,0.30,0.40,2.74
0.70,1.00,0.36,0.76,0.59,0.69,0.17
0.15,0.40,0.24,0.34,0.51,0.67,-0.24
0.11,0.13,0.32,0.66,0.85,0.55,0.02
0.85,0.38,0.32,0.35,0.17,0.83,2.26
0.34,0.55,0.58,0.52,0.00,0.99,1.31
0.91,0.21,0.29,0.52,0.90,0.98,0.32
0.26,0.56,0.81,0.39,0.73,0.16,1.01
0.60,0.87,0.98,0.08,0.43,0.20,3.13
0.45,0.55,0.09,0.30,0.93,0.57,0.06
0.46,0.75,0.74,0.05,0.71,0.84,2.16
0.17,0.78,0.29,0.31,0.67,0.11,1.02
0.66,0.89,0.70,0.44,0.44,0.77,1.37
0.57,0.08,0.58,0.81,0.34,0.93,3.44
0.75,0.57,0.75,0.08,0.86,0.82,1.37
0.91,0.13,0.08,0.14,0.40,0.42,2.01
